id,category,price_tier,open_time,close_time,neighborhood,average_rating,good_for_kids
1,family style,expensive,11:22,23:26,Essex Crossing,1.8,true
2,fast food,medium,11:16,21:36,Union Square,1.8,false
3,buffet,medium,12:01,21:48,Hudson Yards,2.5,true
4,fast food,cheap,11:32,22:39,Penn South,4.3,true
5,buffet,expensive,10:37,22:50,Lower East Side,1.8,false
6,contemporary,cheap,11:39,23:36,Lower East Side,4.0,true
7,fast food,cheap,10:46,21:42,Hudson Yards,3.0,false
8,cafe,cheap,12:04,22:51,Lower East Side,5.0,true
9,buffet,expensive,12:19,21:31,Little Italy,1.5,false
10,family style,medium,11:46,21:37,Lower East Side,2.9,false
11,fast food,expensive,11:09,23:26,Theater District,1.4,false
12,fine dining,cheap,12:24,23:42,Little Australia,3.7,false
13,cafe,medium,11:53,23:01,World Trade Center,2.9,false
14,fast food,expensive,10:54,23:24,Meatpacking District,2.7,true
15,contemporary,expensive,11:32,23:05,Civic Center,4.6,false
16,cafe,medium,11:02,23:52,Cooperative Village,2.4,true
17,fine dining,medium,12:27,22:43,Loisaida,1.7,true
18,cafe,cheap,12:20,21:57,Nolita,4.6,true
19,cafe,cheap,11:07,22:42,Herald Square,3.1,false
20,casual dining,medium,11:40,22:54,Herald Square,2.8,false
21,contemporary,expensive,11:15,23:08,NoHo,3.9,true
22,fine dining,cheap,12:19,22:15,Hudson Square,4.2,true
23,buffet,cheap,11:50,21:37,Flatiron District,2.7,false
24,family style,medium,11:24,21:39,Lincoln Square,3.3,false
25,casual dining,expensive,11:40,21:53,NoHo,3.8,false
26,fast food,medium,10:44,22:48,Gramercy Park,1.6,true
27,buffet,expensive,11:31,23:02,Hudson Square,2.6,false
28,casual dining,expensive,11:39,22:40,Loisaida,2.6,true
29,fine dining,cheap,12:14,22:50,Hudson Yards,4.7,false
30,fast food,cheap,11:08,23:40,Gramercy Park,3.6,true
31,contemporary,cheap,10:43,21:40,Bowery,4.4,true
32,cafe,cheap,12:20,23:50,Riverside South,2.5,false
33,buffet,expensive,10:32,21:58,Bowery,2.7,true
34,family style,expensive,12:13,23:07,South Village,4.3,false
35,buffet,expensive,11:41,23:41,Little Italy,4.0,false
36,casual dining,expensive,10:50,21:33,NoMad,1.9,false
37,buffet,expensive,12:24,23:15,Silicon Alley,3.1,false
38,casual dining,cheap,11:04,22:08,Essex Crossing,4.4,true
39,buffet,expensive,10:39,21:55,Pomander Walk,2.0,false
40,family style,expensive,10:46,21:34,Tribeca,4.0,true
41,family style,expensive,11:57,22:50,Riverside South,3.6,false
42,fine dining,expensive,12:18,22:49,Flatiron District,4.9,true
43,fine dining,expensive,11:06,21:58,Nolita,2.1,true
44,fine dining,expensive,11:31,23:17,Silicon Alley,2.8,false
45,contemporary,medium,12:21,22:19,Nolita,2.0,false
46,buffet,cheap,11:43,21:40,Little Italy,4.3,true
47,fine dining,cheap,12:16,23:31,Herald Square,2.1,true
48,cafe,cheap,12:15,22:51,Tribeca,1.6,true
49,family style,expensive,11:20,22:11,Korea town,3.4,true
50,cafe,cheap,11:14,23:25,Diamond District,4.1,false
51,buffet,expensive,10:46,21:53,Nolita,1.9,true
52,fast food,expensive,12:21,22:29,South Street Seaport,1.4,true
53,fast food,cheap,10:43,23:00,Essex Crossing,4.1,true
54,buffet,expensive,11:56,23:45,Penn South,1.3,false
55,casual dining,cheap,10:56,22:19,Tribeca,3.4,false
56,fine dining,medium,11:20,23:49,Tribeca,2.4,true
57,fine dining,expensive,12:07,22:43,Little Fuzhou,4.8,false
58,fine dining,expensive,10:32,22:54,Garment District,3.3,false
59,contemporary,cheap,12:22,23:15,Chelsea,2.3,false
60,buffet,medium,11:11,22:56,Silicon Alley,3.3,true
61,fine dining,medium,12:01,21:35,West Village,4.6,false
62,buffet,expensive,12:23,21:50,Lower East Side,3.2,false
63,buffet,medium,10:33,22:16,Civic Center,4.1,false
64,cafe,cheap,11:27,22:49,Times Square,2.2,false
65,casual dining,expensive,10:57,21:50,SoHo,1.4,true
66,fast food,expensive,10:40,23:36,Union Square,4.5,false
67,fast food,expensive,11:17,23:46,Gramercy Park,1.7,true
68,fast food,expensive,10:35,23:43,Little Italy,2.4,true
69,family style,medium,11:39,22:39,Chinatown,3.8,true
70,family style,medium,11:24,22:22,Chinatown,2.2,false
71,fast food,expensive,11:24,23:41,Cooperative Village,1.6,false
72,fast food,expensive,10:37,22:47,Korea town,4.1,false
73,fine dining,medium,11:56,21:56,Battery Park City,2.9,true
74,fast food,medium,12:24,23:49,SoHo,2.2,true
75,buffet,medium,10:52,21:32,Meatpacking District,2.7,true
76,fast food,cheap,10:40,21:48,Chelsea,1.1,false
77,fast food,medium,11:35,23:00,NoHo,3.7,false
78,buffet,medium,12:13,23:01,Stuyvesant Town,3.8,true
79,casual dining,expensive,11:08,21:42,Loisaida,1.6,true
80,contemporary,medium,10:41,21:50,Civic Center,4.1,true
81,cafe,expensive,11:27,21:42,Battery Park City,4.9,true
82,family style,medium,10:58,23:29,Civic Center,1.3,false
83,buffet,medium,10:33,21:48,Theater District,2.0,true
84,cafe,expensive,12:09,23:44,Korea town,1.5,true
85,buffet,cheap,11:30,21:33,Kips Bay,2.5,true
86,fine dining,expensive,12:05,23:02,Carnegie Hill,3.5,true
87,fine dining,expensive,11:08,23:06,Union Square,4.8,true
88,family style,medium,12:07,23:03,Union Square,2.0,true
89,family style,expensive,10:44,21:37,Manhattan Valley,2.5,false
90,cafe,medium,10:46,22:37,Penn South,2.3,false
91,family style,cheap,11:59,23:19,Two Bridges,4.6,false
92,family style,medium,11:33,21:52,World Trade Center,3.7,false
93,cafe,medium,11:41,23:01,Lower East Side,4.3,false
94,family style,cheap,12:12,21:33,World Trade Center,1.9,false
95,family style,medium,10:38,23:17,Stuyvesant Town,4.8,false
96,buffet,medium,11:27,22:53,Chelsea,2.5,true
97,fast food,cheap,11:29,23:00,Madison Square,3.3,false
98,family style,expensive,11:37,23:09,Stuyvesant Town,2.9,true
99,fine dining,medium,11:40,22:32,Alphabet City,3.4,true
100,cafe,medium,10:30,22:16,Kips Bay,4.3,false
101,fast food,expensive,12:11,21:46,Nolita,3.0,true
102,fast food,expensive,12:18,22:54,Chinatown,2.0,true
103,contemporary,medium,12:11,22:32,Carnegie Hill,1.3,false
104,buffet,expensive,10:58,23:15,Alphabet City,2.5,false
105,family style,medium,11:29,23:08,Cooperative Village,1.5,false
106,fine dining,cheap,11:19,22:21,Union Square,2.0,false
107,fast food,expensive,11:13,21:36,World Trade Center,3.5,false
108,cafe,cheap,12:24,22:55,Union Square,2.8,true
109,cafe,cheap,12:14,23:10,Hell's Kitchen,4.5,false
110,buffet,cheap,12:28,22:17,Pomander Walk,1.2,true
111,family style,expensive,11:58,23:37,Union Square,4.7,true
112,buffet,cheap,12:21,23:36,Financial District,2.4,true
113,casual dining,cheap,12:15,23:51,Manhattan Valley,3.9,true
114,fast food,medium,11:56,22:45,Financial District,2.4,true
115,family style,medium,12:02,22:00,Kips Bay,2.0,false
116,contemporary,medium,11:12,23:02,SoHo,1.7,false
117,contemporary,cheap,10:35,22:47,Union Square,1.1,true
118,casual dining,medium,10:46,22:18,Hudson Yards,2.7,false
119,family style,cheap,11:23,21:56,Times Square,3.0,false
120,fine dining,cheap,11:28,21:51,World Trade Center,3.7,false
121,buffet,cheap,11:11,21:49,Meatpacking District,2.5,false
122,buffet,medium,11:10,23:19,East Village,1.7,false
123,casual dining,medium,11:41,22:05,Two Bridges,4.2,true
124,casual dining,medium,10:58,22:03,Flatiron District,4.0,true
125,family style,medium,11:34,22:22,Chinatown,2.3,true
126,fine dining,cheap,11:37,22:29,South Village,2.2,true
127,casual dining,medium,10:53,22:29,Kips Bay,2.3,false
128,fast food,expensive,11:16,22:36,Korea town,3.8,false
129,cafe,expensive,12:01,21:47,Pomander Walk,1.9,true
130,fast food,expensive,10:32,23:24,Stuyvesant Town,3.3,true
131,fast food,cheap,11:09,23:29,Lower East Side,3.9,true
132,family style,medium,12:07,23:48,Tribeca,3.0,true
133,family style,medium,12:18,23:22,Korea town,3.2,true
134,family style,medium,11:06,22:48,NoMad,2.7,false
135,fast food,medium,10:44,23:19,Gramercy Park,1.4,false
136,cafe,expensive,12:26,22:34,Pomander Walk,2.9,true
137,buffet,expensive,11:01,21:46,South Village,4.4,true
138,fine dining,cheap,11:55,21:43,East Village,3.4,true
139,contemporary,expensive,10:30,23:15,Garment District,3.3,true
140,casual dining,medium,10:48,21:49,Loisaida,1.3,true
141,contemporary,expensive,10:49,22:02,Nolita,3.0,false
142,casual dining,expensive,10:32,23:02,Little Australia,4.1,true
143,family style,expensive,11:25,21:56,West Village,2.5,false
144,cafe,medium,12:28,22:04,Battery Park City,3.4,true
145,fine dining,medium,12:12,22:14,NoMad,1.4,false
146,family style,expensive,11:35,22:32,Carnegie Hill,1.7,false
147,fine dining,cheap,11:42,23:13,Loisaida,2.1,true
148,casual dining,medium,12:22,21:32,Alphabet City,3.3,true
149,family style,expensive,11:39,22:09,Meatpacking District,3.2,false
150,fast food,cheap,11:14,22:44,World Trade Center,3.2,false
151,contemporary,cheap,10:34,21:39,World Trade Center,3.0,false
152,buffet,expensive,12:08,23:56,Korea town,4.6,true
153,fast food,expensive,11:55,23:14,Gramercy Park,4.9,false
154,fast food,expensive,11:59,23:37,Essex Crossing,1.3,false
155,cafe,cheap,10:58,22:56,Korea town,3.4,true
156,cafe,expensive,11:08,23:45,Meatpacking District,4.7,false
157,casual dining,cheap,12:09,23:41,Little Fuzhou,3.0,false
158,family style,expensive,10:34,23:43,Hudson Square,3.9,false
159,buffet,expensive,11:50,23:21,East Village,3.3,false
160,cafe,cheap,11:16,22:57,Theater District,2.2,true
161,fast food,cheap,12:03,23:37,Little Fuzhou,3.0,false
162,fast food,medium,10:51,23:35,Garment District,1.2,true
163,fast food,expensive,11:41,22:36,Garment District,3.6,false
164,family style,medium,11:21,23:29,Gramercy Park,1.4,true
165,contemporary,cheap,11:12,22:03,World Trade Center,4.4,false
166,contemporary,medium,11:47,22:25,Korea town,3.7,true
167,fine dining,cheap,11:52,23:49,Carnegie Hill,4.5,true
168,fast food,expensive,11:47,21:49,Battery Park City,3.5,false
169,fast food,cheap,11:32,23:55,Penn South,2.8,true
170,buffet,expensive,11:46,21:53,Theater District,3.1,false
171,casual dining,cheap,10:40,21:31,Kips Bay,1.4,true
172,fast food,expensive,10:59,21:31,Stuyvesant Town,3.5,false
173,fast food,expensive,11:43,23:19,Nolita,3.8,false
174,family style,cheap,11:33,23:05,SoHo,2.3,true
175,fine dining,medium,11:07,22:50,Riverside South,4.1,false
176,family style,expensive,10:54,23:36,Union Square,2.7,true
177,buffet,expensive,10:37,22:35,Korea town,4.7,true
178,casual dining,cheap,12:11,21:45,NoHo,4.1,true
179,fast food,cheap,12:05,23:13,Tribeca,2.6,false
180,fine dining,expensive,10:37,21:33,Loisaida,1.6,true
181,fast food,expensive,11:29,22:22,Little Fuzhou,2.2,false
182,fine dining,expensive,12:29,21:37,Nolita,4.2,false
183,buffet,expensive,11:48,23:43,Penn South,2.7,true
184,contemporary,expensive,10:31,22:40,Korea town,2.2,true
185,buffet,cheap,12:29,23:01,Upper West Side,1.3,false
186,contemporary,expensive,11:39,23:42,Two Bridges,1.2,true
187,fast food,expensive,11:42,22:25,Columbus Circle,1.6,true
188,contemporary,medium,11:26,22:52,Garment District,4.2,true
189,cafe,cheap,11:00,23:11,West Village,4.9,false
190,fast food,medium,11:03,22:50,Pomander Walk,1.5,false
191,buffet,medium,11:03,23:00,Tribeca,2.7,true
192,fast food,medium,12:08,22:43,Gramercy Park,3.2,false
193,buffet,medium,11:30,21:50,Manhattan Valley,3.0,false
194,fine dining,medium,12:23,22:40,Theater District,3.4,false
195,fine dining,cheap,11:25,21:58,Bowery,4.6,true
196,fast food,medium,10:57,23:51,Loisaida,3.3,true
197,contemporary,expensive,12:23,23:55,Alphabet City,1.7,false
198,family style,expensive,11:33,22:50,Loisaida,3.5,true
199,buffet,cheap,10:39,23:14,Little Italy,1.5,true
200,contemporary,expensive,11:49,21:30,Alphabet City,1.4,true
201,family style,expensive,11:46,22:36,Little Italy,3.0,false
202,fine dining,expensive,11:36,23:46,NoMad,4.1,true
203,buffet,medium,10:34,22:54,Pomander Walk,4.1,true
204,contemporary,expensive,11:21,23:44,Bowery,1.2,false
205,fine dining,medium,10:56,23:58,Pomander Walk,1.6,true
206,cafe,medium,10:40,23:20,Union Square,1.3,false
207,fast food,medium,12:13,23:36,Kips Bay,3.9,false
208,family style,cheap,12:16,22:42,Little Fuzhou,2.4,true
209,cafe,cheap,12:01,21:32,Little Fuzhou,3.5,false
210,buffet,expensive,11:00,21:55,Upper West Side,3.1,true
211,fine dining,expensive,11:29,22:56,Riverside South,4.8,true
212,cafe,medium,10:59,23:10,Lower East Side,4.7,false
213,contemporary,expensive,10:54,22:05,Times Square,3.0,true
214,contemporary,medium,11:12,23:33,Times Square,4.8,true
215,buffet,expensive,10:33,21:39,Flatiron District,4.7,true
216,casual dining,expensive,11:00,22:30,Little Fuzhou,3.5,false
217,fast food,cheap,10:38,22:32,West Village,4.7,false
218,casual dining,expensive,11:45,22:05,Hudson Square,1.5,false
219,buffet,cheap,12:08,22:47,Chelsea,4.8,false
220,fine dining,medium,10:56,22:25,Gramercy Park,4.9,true
221,casual dining,medium,11:41,23:19,Little Australia,3.6,false
222,casual dining,medium,12:01,21:33,Herald Square,3.0,true
223,family style,medium,10:49,22:13,SoHo,4.0,true
224,contemporary,medium,12:26,21:46,Columbus Circle,4.8,false
225,buffet,expensive,12:10,22:14,Loisaida,1.9,false
226,fast food,medium,12:00,23:38,Hell's Kitchen,4.1,true
227,fast food,cheap,11:44,22:40,Pomander Walk,2.3,true
228,cafe,expensive,11:46,23:47,Cooperative Village,3.0,true
229,fast food,expensive,11:35,22:39,Essex Crossing,4.3,false
230,casual dining,expensive,12:08,23:12,Little Fuzhou,5.0,false
231,buffet,medium,11:13,21:54,Two Bridges,4.0,true
232,family style,expensive,10:42,23:03,Carnegie Hill,4.2,false
233,casual dining,cheap,11:46,22:15,Little Italy,3.4,true
234,buffet,expensive,11:03,22:35,Alphabet City,2.9,false
235,fine dining,medium,11:03,21:44,SoHo,3.6,true
236,fine dining,expensive,12:29,22:37,Lower East Side,4.8,true
237,fine dining,cheap,10:49,23:41,SoHo,1.6,false
238,cafe,cheap,11:09,21:38,NoHo,2.4,false
239,fast food,cheap,12:01,22:39,Madison Square,3.5,true
240,buffet,medium,11:25,22:56,NoHo,3.1,true
241,cafe,cheap,12:06,23:38,East Village,1.6,true
242,fast food,expensive,10:48,22:10,Lincoln Square,3.5,true
243,family style,expensive,11:06,22:10,West Village,3.9,true
244,contemporary,expensive,11:19,23:55,Essex Crossing,3.1,true
245,casual dining,expensive,12:15,23:13,Bowery,4.1,true
246,contemporary,cheap,10:34,23:55,Columbus Circle,3.1,false
247,fine dining,cheap,11:25,21:55,Nolita,2.3,true
248,casual dining,medium,11:50,22:26,Civic Center,4.2,true
249,casual dining,expensive,10:32,22:01,NoHo,3.9,false
250,fine dining,medium,12:13,21:38,Chinatown,2.7,false
251,contemporary,expensive,11:41,23:45,Stuyvesant Town,4.3,false
252,contemporary,expensive,10:38,22:39,Bowery,3.7,true
253,casual dining,expensive,10:58,23:14,Lower East Side,2.2,false
254,contemporary,cheap,11:30,22:05,Meatpacking District,4.7,false
255,fast food,medium,10:36,22:46,East Village,1.5,false
256,contemporary,medium,11:28,22:10,Little Fuzhou,1.3,false
257,casual dining,cheap,11:12,22:04,Meatpacking District,3.7,true
258,contemporary,expensive,10:31,23:50,Financial District,1.7,false
259,cafe,expensive,10:54,23:49,Herald Square,3.9,true
260,family style,medium,11:47,23:35,Theater District,4.6,false
261,buffet,cheap,11:08,23:24,Essex Crossing,1.8,false
262,fine dining,medium,10:45,22:38,Chinatown,1.6,true
263,cafe,expensive,10:35,23:53,Little Italy,4.9,true
264,casual dining,expensive,11:53,21:40,Herald Square,2.6,false
265,fine dining,expensive,11:33,22:39,Nolita,3.9,false
266,fine dining,expensive,12:02,22:33,Little Italy,4.6,false
267,fine dining,medium,12:03,22:04,Garment District,1.5,true
268,family style,medium,10:33,21:49,Lower East Side,4.4,true
269,contemporary,cheap,11:44,23:18,Chelsea,2.9,false
270,contemporary,cheap,12:21,22:03,Diamond District,4.1,true
271,fast food,cheap,11:31,21:58,West Village,3.8,false
272,fast food,cheap,12:24,23:46,Hudson Square,3.5,true
273,contemporary,medium,12:22,23:16,South Street Seaport,3.5,true
274,casual dining,medium,12:16,22:38,Hell's Kitchen,4.2,true
275,cafe,cheap,11:15,22:00,Carnegie Hill,2.8,false
276,fast food,expensive,11:43,22:43,Flatiron District,3.8,true
277,cafe,medium,10:50,23:02,Little Fuzhou,5.0,true
278,fast food,expensive,11:18,22:39,Bowery,1.7,false
279,family style,expensive,10:57,21:58,Meatpacking District,3.3,true
280,contemporary,expensive,11:51,23:27,Manhattan Valley,4.9,false
281,cafe,medium,11:01,22:02,Nolita,1.7,false
282,buffet,cheap,11:22,22:41,Meatpacking District,4.1,true
283,cafe,cheap,12:08,23:56,Garment District,4.5,true
284,contemporary,cheap,11:06,21:31,Meatpacking District,2.1,false
285,family style,medium,11:06,21:55,SoHo,3.5,true
286,buffet,medium,11:56,23:13,Riverside South,2.2,true
287,casual dining,cheap,11:21,22:03,Stuyvesant Town,2.9,true
288,contemporary,medium,11:51,22:21,Union Square,4.7,false
289,buffet,expensive,11:43,23:54,Stuyvesant Town,1.8,false
290,family style,cheap,12:02,23:53,Theater District,2.9,false
291,fine dining,expensive,10:59,23:32,Riverside South,2.0,true
292,buffet,cheap,11:51,23:00,SoHo,1.4,true
293,buffet,medium,12:17,23:38,Manhattan Valley,1.7,false
294,contemporary,cheap,10:53,22:20,Riverside South,3.4,false
295,casual dining,cheap,11:12,21:35,Little Australia,1.7,false
296,contemporary,expensive,11:44,21:46,Penn South,5.0,false
297,cafe,medium,11:23,23:54,Lower East Side,2.8,false
298,family style,medium,11:57,22:06,Financial District,4.0,true
299,fast food,medium,12:21,21:48,Union Square,2.1,true
300,fast food,expensive,10:35,22:13,Financial District,1.9,true
301,buffet,cheap,12:01,21:56,Tribeca,4.2,true
302,family style,medium,10:37,22:17,Two Bridges,3.1,true
303,family style,expensive,11:02,21:57,SoHo,2.4,true
304,cafe,cheap,12:13,22:43,South Village,4.4,true
305,fine dining,cheap,12:22,22:41,Two Bridges,4.5,false
306,contemporary,medium,10:40,23:27,Theater District,3.6,false
307,fast food,medium,10:42,23:49,Little Fuzhou,3.1,true
308,casual dining,cheap,11:31,23:27,Hudson Yards,2.4,false
309,fast food,medium,11:54,22:31,Union Square,3.8,false
310,contemporary,expensive,10:53,22:40,Kips Bay,2.9,false
311,fast food,expensive,11:53,22:03,Little Australia,4.0,true
312,fast food,medium,11:51,21:49,East Village,4.6,true
313,fine dining,expensive,11:14,23:48,NoHo,2.9,false
314,casual dining,medium,10:37,22:04,Pomander Walk,2.1,true
315,fast food,expensive,11:32,23:10,Columbus Circle,4.6,false
316,fast food,expensive,11:56,23:48,Lower East Side,4.7,true
317,fast food,cheap,11:36,22:34,Columbus Circle,3.1,false
318,casual dining,cheap,10:55,21:59,NoMad,4.9,false
319,fast food,cheap,11:56,22:40,Essex Crossing,2.9,false
320,contemporary,cheap,12:07,23:16,Alphabet City,4.0,false
321,casual dining,medium,12:04,21:46,Greenwich Village,4.2,true
322,fast food,medium,12:16,22:16,East Village,1.0,false
323,buffet,cheap,11:47,22:12,Times Square,4.6,true
324,fine dining,medium,12:28,22:07,Civic Center,2.8,false
325,contemporary,medium,12:20,22:10,Civic Center,4.7,false
326,contemporary,expensive,10:34,23:08,Diamond District,1.0,true
327,casual dining,cheap,11:15,23:37,Theater District,3.6,false
328,cafe,cheap,11:17,22:03,Nolita,2.7,true
329,contemporary,medium,11:04,22:43,Diamond District,2.0,false
330,cafe,medium,12:18,22:55,NoHo,3.8,true
331,cafe,medium,11:57,22:29,Hudson Yards,3.1,false
332,fast food,medium,11:20,23:27,Flatiron District,4.6,true
333,fine dining,medium,11:57,23:22,World Trade Center,1.6,false
334,casual dining,medium,12:10,23:05,South Street Seaport,1.7,true
335,fast food,cheap,11:31,23:39,SoHo,3.7,false
