id,category,price_tier,open_time,close_time,neighborhood,average_rating,good_for_kids
666,buffet,cheap,10:32,22:23,Madison Square,1.4,false
667,contemporary,expensive,11:02,23:33,Manhattan Valley,4.2,false
668,fine dining,expensive,11:32,22:33,Financial District,3.0,false
669,family style,medium,10:51,23:45,Battery Park City,1.3,true
670,contemporary,cheap,11:13,21:55,Essex Crossing,1.7,false
671,casual dining,expensive,10:40,22:16,East Village,4.6,false
672,casual dining,expensive,10:43,22:50,NoMad,4.6,false
673,contemporary,cheap,12:28,22:47,Hell's Kitchen,2.2,true
674,buffet,cheap,10:47,23:41,Battery Park City,3.8,false
675,fine dining,expensive,12:04,22:10,Chelsea,4.6,true
676,fine dining,cheap,12:00,21:35,Upper West Side,2.5,true
677,contemporary,cheap,10:51,23:33,Penn South,1.4,false
678,fast food,medium,10:58,22:44,Little Australia,4.9,false
679,contemporary,medium,12:00,21:48,Union Square,4.1,false
680,casual dining,medium,11:50,22:09,Greenwich Village,4.8,true
681,family style,cheap,10:43,22:57,Flatiron District,2.7,true
682,buffet,medium,11:10,22:28,Upper West Side,1.3,true
683,casual dining,cheap,10:41,21:43,East Village,2.9,false
684,fine dining,medium,10:53,23:35,Financial District,4.0,false
685,cafe,expensive,11:37,21:46,Loisaida,5.0,false
686,family style,medium,12:19,23:05,Two Bridges,4.1,true
687,family style,medium,11:22,22:41,Carnegie Hill,3.2,true
688,family style,expensive,12:04,23:47,Tribeca,3.0,false
689,fast food,medium,11:33,23:41,Silicon Alley,2.9,true
690,fine dining,medium,12:25,23:51,South Street Seaport,3.2,false
691,fast food,medium,11:58,22:59,Stuyvesant Town,1.4,true
692,cafe,expensive,10:51,21:47,Hudson Square,1.2,true
693,fine dining,cheap,11:37,22:24,Alphabet City,2.5,false
694,family style,cheap,11:50,21:31,Chelsea,3.5,false
695,contemporary,cheap,11:02,23:17,Manhattan Valley,1.3,true
696,cafe,expensive,11:24,23:23,World Trade Center,4.1,true
697,fine dining,expensive,12:11,23:19,Essex Crossing,3.9,false
698,contemporary,cheap,11:23,23:02,Tribeca,1.9,false
699,fast food,expensive,11:27,21:54,Loisaida,3.2,true
700,cafe,cheap,11:46,23:30,South Village,3.3,true
701,fine dining,cheap,12:27,22:38,Stuyvesant Town,1.6,true
702,family style,cheap,11:35,23:58,Hudson Yards,2.3,false
703,casual dining,cheap,11:22,23:44,Gramercy Park,4.7,true
704,contemporary,expensive,12:07,21:49,Theater District,1.9,false
705,cafe,expensive,12:23,21:47,Two Bridges,1.3,false
706,family style,medium,11:21,23:08,Theater District,4.0,true
707,contemporary,expensive,11:11,22:19,Silicon Alley,1.9,true
708,casual dining,cheap,11:45,21:41,Garment District,3.3,true
709,casual dining,expensive,11:08,21:49,NoMad,3.6,true
710,contemporary,cheap,11:12,22:21,Hell's Kitchen,4.1,true
711,casual dining,medium,11:53,23:40,Hudson Square,3.3,true
712,contemporary,cheap,10:53,22:35,Essex Crossing,4.6,false
713,family style,expensive,10:33,22:03,Gramercy Park,4.0,true
714,buffet,expensive,10:38,22:45,Stuyvesant Town,2.2,false
715,family style,medium,11:42,22:29,Garment District,3.6,false
716,fast food,expensive,10:40,21:51,Financial District,2.2,true
717,contemporary,medium,12:08,23:05,NoMad,2.9,false
718,cafe,cheap,12:26,23:21,Columbus Circle,2.2,true
719,casual dining,expensive,11:10,23:48,Alphabet City,1.6,false
720,cafe,expensive,11:35,22:29,Chinatown,2.0,false
721,cafe,cheap,11:29,23:38,Times Square,3.9,false
722,contemporary,expensive,11:57,23:08,Union Square,3.7,true
723,contemporary,expensive,12:22,21:55,Herald Square,4.0,true
724,fine dining,cheap,11:11,21:40,Two Bridges,1.8,false
725,contemporary,medium,12:04,23:27,West Village,3.6,true
726,buffet,medium,10:38,22:14,Hudson Yards,4.9,false
727,fine dining,cheap,11:38,22:23,Garment District,4.0,false
728,fine dining,medium,10:49,22:15,Cooperative Village,2.7,false
729,cafe,cheap,12:21,22:48,Theater District,2.4,true
730,casual dining,expensive,11:29,22:21,Loisaida,5.0,true
731,family style,medium,11:36,22:50,West Village,1.9,true
732,fast food,medium,10:51,23:52,East Village,3.5,true
733,cafe,medium,10:59,21:32,Diamond District,1.7,false
734,cafe,expensive,11:22,21:37,Tribeca,3.7,true
735,cafe,medium,12:23,23:20,Madison Square,1.6,false
736,buffet,medium,12:20,23:42,Little Italy,4.6,false
737,fast food,medium,11:52,22:56,Union Square,4.6,false
738,contemporary,cheap,11:05,23:11,Hudson Square,4.4,false
739,fine dining,cheap,12:13,22:47,Nolita,4.5,true
740,cafe,cheap,12:15,23:43,Little Fuzhou,1.4,true
741,buffet,cheap,10:44,23:40,Union Square,2.3,false
742,fast food,medium,10:34,23:12,Civic Center,4.2,false
743,buffet,medium,11:23,22:23,Nolita,2.6,true
744,fine dining,expensive,11:02,23:04,Pomander Walk,1.5,false
745,fast food,medium,11:19,21:59,Riverside South,1.3,true
746,casual dining,expensive,12:23,23:27,Two Bridges,2.6,true
747,cafe,cheap,11:45,21:35,Little Italy,3.2,false
748,family style,medium,11:47,23:44,Union Square,1.3,false
749,family style,cheap,12:13,22:37,Hell's Kitchen,2.3,false
750,fast food,medium,11:19,23:48,Kips Bay,2.8,false
751,buffet,medium,11:39,23:21,Flatiron District,2.9,true
752,fast food,expensive,11:14,21:47,Penn South,3.1,false
753,fine dining,cheap,12:14,23:14,Lower East Side,1.2,true
754,fast food,expensive,11:54,23:33,Bowery,3.8,true
755,casual dining,expensive,11:10,22:43,Loisaida,1.8,false
756,fast food,expensive,12:20,22:58,Herald Square,3.2,true
757,contemporary,cheap,12:06,23:13,NoHo,1.1,false
758,contemporary,expensive,12:07,22:05,Lower East Side,3.0,false
759,family style,medium,11:45,21:36,Hudson Square,3.3,false
760,fine dining,cheap,10:50,22:27,Korea town,1.9,true
761,fast food,medium,11:07,23:15,South Village,1.9,false
762,cafe,expensive,10:59,22:07,NoHo,1.2,false
763,cafe,expensive,11:45,22:49,Manhattan Valley,1.0,false
764,casual dining,expensive,12:22,22:27,Financial District,2.9,false
765,casual dining,cheap,11:14,23:20,Silicon Alley,2.5,false
766,family style,expensive,11:18,23:45,Lower East Side,1.3,true
767,fine dining,medium,11:28,22:36,Hell's Kitchen,1.4,true
768,casual dining,cheap,12:13,23:41,Tribeca,2.2,true
769,cafe,medium,11:13,22:04,Silicon Alley,4.4,true
770,cafe,cheap,12:22,23:44,Cooperative Village,3.0,false
771,cafe,medium,10:35,21:33,Alphabet City,4.2,true
772,casual dining,expensive,10:57,22:47,Columbus Circle,2.5,true
773,buffet,expensive,10:45,21:40,Little Italy,3.4,false
774,casual dining,cheap,11:29,21:44,Nolita,3.2,true
775,fast food,medium,10:30,23:29,Kips Bay,3.2,true
776,fine dining,medium,10:36,23:22,Little Fuzhou,3.8,true
777,buffet,cheap,11:18,22:51,Loisaida,2.4,true
778,contemporary,medium,11:29,23:01,Alphabet City,1.7,true
779,buffet,cheap,12:25,21:43,Stuyvesant Town,3.4,true
780,buffet,medium,12:23,23:34,Two Bridges,3.8,true
781,fast food,expensive,11:23,21:53,Garment District,4.5,true
782,fine dining,expensive,10:53,22:57,Stuyvesant Town,3.5,false
783,fine dining,expensive,11:10,21:47,Nolita,2.6,true
784,fast food,cheap,11:16,22:48,Tribeca,1.0,false
785,contemporary,cheap,10:35,21:38,Civic Center,4.1,false
786,fine dining,cheap,10:34,22:12,Penn South,4.6,true
787,cafe,cheap,10:38,23:11,Nolita,1.3,true
788,casual dining,medium,12:21,23:58,Garment District,2.1,true
789,cafe,medium,12:29,22:48,Little Fuzhou,2.8,false
790,casual dining,medium,11:57,21:30,Gramercy Park,3.6,false
791,buffet,expensive,11:23,22:27,Battery Park City,2.9,false
792,fine dining,medium,11:19,22:55,Nolita,2.8,false
793,family style,expensive,10:39,22:14,East Village,3.7,true
794,buffet,medium,11:07,22:24,Battery Park City,3.6,true
795,family style,cheap,12:16,23:37,Chelsea,3.9,true
796,cafe,expensive,11:16,23:25,Cooperative Village,2.8,true
797,fast food,medium,12:02,23:51,Greenwich Village,4.7,true
798,casual dining,cheap,11:03,21:52,Hudson Yards,4.7,false
799,family style,expensive,12:00,22:16,Columbus Circle,1.9,true
800,fine dining,medium,11:37,23:00,Korea town,2.7,true
801,casual dining,cheap,12:21,22:29,Civic Center,2.3,true
802,fast food,expensive,11:21,21:42,East Village,3.5,true
803,cafe,cheap,10:37,23:50,Alphabet City,3.1,true
804,cafe,expensive,11:47,23:37,World Trade Center,2.9,true
805,fine dining,cheap,12:14,23:38,Theater District,4.9,false
806,contemporary,cheap,11:17,23:20,Financial District,3.1,false
807,buffet,cheap,12:06,23:49,Little Australia,1.9,false
808,buffet,cheap,11:01,21:53,World Trade Center,2.6,true
809,fast food,cheap,10:37,23:41,Penn South,2.4,true
810,cafe,medium,12:00,23:06,Greenwich Village,2.6,true
811,buffet,medium,11:16,22:53,NoMad,4.3,true
812,contemporary,cheap,11:07,21:43,Little Fuzhou,1.9,false
813,family style,medium,12:14,22:43,Chinatown,2.5,true
814,casual dining,expensive,12:14,23:38,Silicon Alley,1.6,true
815,contemporary,expensive,12:21,22:35,Loisaida,3.3,false
816,cafe,medium,10:54,22:46,Bowery,2.6,false
817,buffet,cheap,11:49,22:11,Chinatown,4.5,false
818,cafe,medium,12:29,23:50,Tribeca,1.4,true
819,casual dining,expensive,12:07,23:04,Bowery,1.3,true
820,cafe,medium,12:12,23:18,Tribeca,2.3,false
821,cafe,medium,12:23,23:26,Times Square,3.8,false
822,fast food,expensive,10:38,22:11,Silicon Alley,4.9,false
823,casual dining,expensive,12:14,22:39,SoHo,3.0,false
824,cafe,expensive,11:49,22:20,Little Fuzhou,3.0,false
825,casual dining,medium,12:01,22:13,Hudson Square,3.4,true
826,cafe,cheap,11:00,22:44,West Village,3.1,true
827,buffet,medium,11:57,22:32,NoHo,2.7,true
828,casual dining,cheap,10:54,22:50,Civic Center,4.0,true
829,casual dining,cheap,11:35,22:54,Little Fuzhou,2.7,false
830,contemporary,medium,12:29,23:44,South Street Seaport,1.5,false
831,contemporary,medium,12:11,23:28,Herald Square,3.6,false
832,contemporary,medium,11:16,22:01,Nolita,3.9,true
833,fast food,expensive,10:41,22:14,Essex Crossing,3.6,false
834,casual dining,cheap,12:02,23:52,South Street Seaport,1.3,true
835,buffet,medium,10:33,23:02,Cooperative Village,2.3,true
836,fine dining,expensive,11:56,21:40,Pomander Walk,4.6,false
837,cafe,cheap,11:25,23:27,Nolita,2.0,true
838,contemporary,cheap,10:34,22:56,Little Italy,1.4,false
839,casual dining,expensive,12:13,21:41,Stuyvesant Town,1.0,true
840,family style,medium,11:58,23:37,Lower East Side,2.2,true
841,buffet,cheap,11:38,22:31,Silicon Alley,4.0,true
842,family style,expensive,11:53,23:28,Battery Park City,2.0,false
843,fine dining,expensive,12:28,23:09,Penn South,3.2,true
844,fine dining,expensive,11:56,23:01,Times Square,1.3,false
845,fast food,expensive,11:30,23:11,Diamond District,4.8,true
846,contemporary,medium,11:10,21:51,Nolita,1.5,false
847,fast food,cheap,11:06,22:54,Pomander Walk,3.2,false
848,fast food,medium,11:18,22:11,NoMad,2.7,false
849,contemporary,expensive,10:41,22:53,Essex Crossing,2.9,true
850,cafe,medium,12:08,23:58,Pomander Walk,4.8,false
851,fine dining,medium,10:36,23:25,Garment District,3.7,true
852,contemporary,expensive,11:24,23:51,East Village,2.1,true
853,fast food,cheap,11:10,22:32,Bowery,2.0,false
854,casual dining,medium,11:02,22:46,Garment District,3.0,true
855,cafe,expensive,12:12,23:34,NoHo,2.3,true
856,contemporary,medium,10:47,22:59,Hudson Yards,2.4,false
857,contemporary,expensive,10:35,23:45,Little Italy,4.4,true
858,fine dining,cheap,12:03,23:30,Little Italy,3.8,true
859,buffet,medium,12:27,23:32,Bowery,3.5,true
860,fast food,medium,11:10,21:30,Hudson Square,4.5,false
861,casual dining,medium,10:56,21:40,World Trade Center,2.0,true
862,fine dining,cheap,11:12,22:57,Hudson Yards,1.0,true
863,contemporary,cheap,11:02,23:52,Pomander Walk,2.1,false
864,fine dining,cheap,11:39,23:11,Columbus Circle,1.3,false
865,family style,medium,11:13,23:00,Chinatown,2.8,false
866,contemporary,medium,11:39,23:37,Battery Park City,1.4,true
867,contemporary,expensive,12:28,23:56,World Trade Center,2.5,true
868,casual dining,expensive,12:20,23:57,Alphabet City,2.4,false
869,fast food,cheap,10:45,23:07,Little Australia,2.5,false
870,contemporary,expensive,10:44,21:43,World Trade Center,2.6,true
871,cafe,expensive,11:35,22:46,Columbus Circle,4.8,true
872,cafe,cheap,12:27,22:24,Little Australia,4.1,false
873,buffet,cheap,11:58,22:10,Theater District,1.6,true
874,contemporary,medium,11:41,23:23,Riverside South,2.4,false
875,fine dining,medium,12:08,23:38,NoHo,2.4,true
876,fine dining,expensive,11:33,23:22,Loisaida,4.0,false
877,buffet,medium,11:03,22:10,Civic Center,2.0,false
878,contemporary,medium,12:17,22:33,Silicon Alley,1.4,true
879,contemporary,medium,11:20,22:19,Union Square,4.4,false
880,casual dining,expensive,12:22,23:46,Diamond District,3.4,false
881,fine dining,expensive,12:04,22:01,Bowery,4.9,true
882,fine dining,expensive,10:56,21:33,Greenwich Village,2.4,false
883,fine dining,medium,10:50,22:23,Pomander Walk,2.1,false
884,cafe,cheap,10:36,22:36,Union Square,3.5,true
885,fine dining,expensive,12:16,21:59,Essex Crossing,3.1,false
886,fine dining,medium,12:16,22:37,Hudson Square,2.7,true
887,buffet,expensive,11:03,21:49,Chinatown,1.5,false
888,casual dining,medium,12:03,23:02,Hudson Square,3.6,false
889,contemporary,cheap,10:56,23:20,South Village,2.3,true
890,cafe,medium,11:23,23:37,NoMad,1.5,false
891,fast food,expensive,10:32,22:21,West Village,2.4,false
892,fine dining,medium,11:28,22:32,South Village,2.7,false
893,cafe,medium,11:35,23:31,Flatiron District,1.6,false
894,cafe,expensive,10:43,22:01,World Trade Center,4.7,true
895,buffet,cheap,11:05,22:32,Silicon Alley,3.9,false
896,buffet,medium,11:14,23:10,Upper West Side,3.6,true
897,fine dining,expensive,11:43,22:03,Essex Crossing,1.7,true
898,contemporary,cheap,11:37,23:25,Diamond District,1.2,true
899,cafe,medium,12:04,23:06,Kips Bay,2.6,true
900,fine dining,expensive,10:53,22:59,Little Fuzhou,1.7,true
901,fast food,cheap,10:38,21:48,Columbus Circle,1.7,false
902,family style,expensive,11:11,22:57,Carnegie Hill,1.3,true
903,cafe,medium,11:44,22:25,Theater District,2.2,false
904,cafe,expensive,11:11,23:57,World Trade Center,3.3,false
905,contemporary,medium,11:05,21:41,Bowery,1.2,true
906,cafe,cheap,11:52,23:12,Cooperative Village,1.2,false
907,cafe,expensive,10:50,23:52,Hell's Kitchen,3.6,true
908,cafe,cheap,11:08,23:18,NoMad,2.2,true
909,cafe,expensive,10:47,21:44,Two Bridges,3.1,true
910,family style,expensive,12:12,23:35,Loisaida,3.9,true
911,cafe,expensive,11:13,23:06,Penn South,4.9,true
912,buffet,medium,11:17,23:51,Penn South,1.0,true
913,fine dining,expensive,10:50,23:38,Financial District,4.8,true
914,fast food,medium,10:57,23:48,Theater District,1.8,false
915,family style,expensive,11:03,22:31,Garment District,1.7,true
916,contemporary,expensive,12:28,22:42,Union Square,4.5,false
917,buffet,expensive,12:25,23:10,Little Australia,3.5,true
918,fast food,expensive,11:32,22:51,Battery Park City,2.0,false
919,contemporary,medium,10:42,21:33,Hudson Square,3.0,true
920,family style,cheap,12:09,22:15,Madison Square,1.0,false
921,fine dining,cheap,12:19,22:29,Loisaida,1.3,false
922,fine dining,expensive,10:56,23:00,NoMad,2.6,true
923,fast food,medium,11:45,21:53,Alphabet City,1.9,true
924,buffet,medium,11:17,23:20,Union Square,1.8,false
925,fast food,medium,10:46,23:12,West Village,2.9,true
926,fine dining,expensive,10:46,23:32,Hudson Yards,1.3,false
927,cafe,medium,11:45,23:52,Silicon Alley,4.7,true
928,casual dining,cheap,11:39,21:59,Two Bridges,3.0,false
929,buffet,medium,12:00,22:08,Columbus Circle,3.2,true
930,cafe,medium,11:57,21:46,Theater District,1.2,true
931,family style,medium,10:52,23:30,Stuyvesant Town,2.1,false
932,fine dining,expensive,10:30,23:03,South Village,4.3,true
933,fine dining,cheap,11:32,23:21,Manhattan Valley,4.9,true
934,contemporary,medium,11:04,21:30,East Village,2.7,true
935,cafe,expensive,11:27,23:35,Lower East Side,2.8,false
936,family style,cheap,10:53,22:30,Hudson Square,2.0,true
937,fast food,medium,11:36,21:46,Flatiron District,2.1,true
938,casual dining,medium,11:13,22:39,Financial District,4.3,false
939,casual dining,cheap,11:33,22:01,Little Australia,1.1,false
940,fine dining,medium,11:46,23:39,Cooperative Village,4.3,true
941,casual dining,expensive,11:06,22:23,Union Square,4.5,true
942,fast food,medium,12:10,23:58,Hell's Kitchen,4.1,false
943,fast food,expensive,10:36,21:32,Hudson Yards,2.0,true
944,fine dining,medium,11:21,22:54,Carnegie Hill,3.1,true
945,cafe,expensive,10:41,21:53,Alphabet City,2.0,true
946,fast food,cheap,11:51,23:51,Little Fuzhou,3.2,true
947,fine dining,cheap,11:43,21:40,Alphabet City,4.4,false
948,buffet,expensive,12:12,21:40,Stuyvesant Town,1.3,true
949,fast food,cheap,11:37,22:46,Nolita,2.2,false
950,cafe,expensive,11:52,22:51,West Village,3.5,false
951,buffet,cheap,11:26,22:58,Two Bridges,1.8,true
952,fast food,medium,12:20,23:23,Meatpacking District,4.6,true
953,cafe,medium,11:25,21:58,Carnegie Hill,4.4,false
954,buffet,expensive,11:25,23:42,World Trade Center,4.1,true
955,contemporary,medium,11:44,21:33,Civic Center,3.4,true
956,casual dining,medium,12:28,22:51,Alphabet City,4.1,true
957,cafe,medium,11:12,22:41,Loisaida,1.1,false
958,fine dining,expensive,12:23,22:50,SoHo,1.7,true
959,family style,cheap,12:23,22:48,World Trade Center,2.2,false
960,fine dining,expensive,12:28,21:36,Loisaida,4.1,false
961,fast food,cheap,12:21,21:32,Battery Park City,3.6,true
962,family style,cheap,11:43,23:53,NoMad,5.0,true
963,contemporary,medium,11:39,21:38,World Trade Center,1.5,false
964,fast food,cheap,11:28,23:30,Flatiron District,4.1,false
965,casual dining,cheap,11:10,23:04,Herald Square,4.6,true
966,buffet,expensive,12:21,23:32,Kips Bay,4.0,false
967,family style,cheap,11:15,23:35,NoHo,4.7,true
968,contemporary,medium,11:54,22:05,West Village,4.6,false
969,cafe,cheap,11:51,22:57,Flatiron District,2.8,false
970,buffet,cheap,10:58,22:25,Bowery,1.2,false
971,fine dining,cheap,12:15,22:26,Essex Crossing,3.3,false
972,casual dining,cheap,10:42,23:34,Hudson Yards,1.8,false
973,contemporary,expensive,11:36,23:52,Union Square,4.5,false
974,casual dining,cheap,11:42,23:12,Chinatown,1.2,true
975,buffet,cheap,12:03,21:58,Meatpacking District,1.5,false
976,contemporary,medium,10:50,22:12,Herald Square,4.2,true
977,fine dining,medium,12:28,21:47,Battery Park City,2.1,false
978,cafe,cheap,12:14,22:36,Little Australia,4.6,true
979,family style,medium,11:42,22:36,Bowery,4.3,true
980,contemporary,cheap,10:43,23:51,Alphabet City,2.8,true
981,fine dining,cheap,12:24,23:14,Columbus Circle,3.8,true
982,contemporary,cheap,10:55,22:23,Gramercy Park,3.1,false
983,contemporary,expensive,11:59,21:43,Times Square,3.2,true
984,buffet,cheap,11:40,22:52,Garment District,3.4,true
985,family style,medium,11:40,21:56,Kips Bay,4.8,false
986,fine dining,expensive,11:54,22:31,Meatpacking District,2.5,false
987,casual dining,medium,11:18,21:35,Riverside South,3.6,true
988,buffet,expensive,12:16,22:00,Flatiron District,3.7,true
989,contemporary,medium,10:52,23:15,Diamond District,3.7,false
990,casual dining,medium,12:29,21:34,Korea town,3.4,false
991,fast food,cheap,11:35,23:20,Penn South,1.7,true
992,buffet,medium,11:51,22:49,Columbus Circle,1.4,false
993,casual dining,cheap,10:31,23:53,Chelsea,4.0,false
994,casual dining,expensive,10:50,22:57,Two Bridges,1.0,true
995,contemporary,cheap,10:50,22:35,Lower East Side,4.6,false
996,casual dining,medium,11:37,22:25,Alphabet City,3.8,false
997,cafe,expensive,11:17,22:20,Chelsea,4.5,true
998,fast food,expensive,11:41,22:18,Carnegie Hill,3.3,false
999,contemporary,medium,11:47,21:53,Cooperative Village,2.2,false
1000,casual dining,cheap,10:39,22:21,Cooperative Village,3.0,false
